group_label,sv_count,top_pairs,top_genes,bg_genes,go_background_mode,go_universe_gene_count,go_bp_terms,go_mf_terms,go_cc_terms,go_total
acute lymphoblastic leukemia,4,0,0,12894,default_universe,,0,0,0,0
acute lymphoid leukemia,8,32,9,12894,default_universe,,0,0,0,0
acute myeloid leukemia,25,10,5,12894,default_universe,,0,0,0,0
acute promyelocytic leukemia,1,0,0,12894,default_universe,,0,0,0,0
aneurysm osteoarthritis syndrome,6,2,2,12894,default_universe,,0,0,0,0
arthritis,1,0,0,12894,default_universe,,0,0,0,0
autoimmune disease,1,0,0,12894,default_universe,,0,0,0,0
autoimmune hemolytic anemia,1,0,0,12894,default_universe,,0,0,0,0
autoimmune lymphoproliferative syndrome,3,6,6,12894,default_universe,,0,0,0,0
autoimmune thrombocytopenia,1,0,0,12894,default_universe,,0,0,0,0
autoinflammatory and immunodeficiency disorders,1,0,0,12894,default_universe,,0,0,0,0
autoinflammatory disease,12,18,9,12894,default_universe,,0,0,0,0
autoinflammatory syndrome,1,0,0,12894,default_universe,,0,0,0,0
b cell lymphoblastic leukemia lymphoma,6,0,0,12894,default_universe,,0,0,0,0
bone marrow failure syndrome,14,5,5,12894,default_universe,,0,0,0,0
chronic lymphocytic leukemia,8,5,5,12894,default_universe,,0,0,0,0
combined immunodeficiency,11,0,0,12894,default_universe,,0,0,0,0
common variable immunodeficiency,5,4,2,12894,default_universe,,0,0,0,0
deafness lymphedema leukemia syndrome,7,0,0,12894,default_universe,,0,0,0,0
ectodermal dysplasia and immunodeficiency,1,0,0,12894,default_universe,,0,0,0,0
fanconi anemia,143,54,27,12894,default_universe,,3,2,0,5
fanconi anemia complementation group d1,47,44,8,12894,default_universe,,0,0,0,0
fanconi anemia complementation group e,1,0,0,12894,default_universe,,0,0,0,0
fanconi anemia complementation group j,19,6,4,12894,default_universe,,0,0,0,0
fanconi anemia complementation group l,1,0,0,12894,default_universe,,0,0,0,0
fanconi anemia complementation group o,23,12,8,12894,default_universe,,0,0,0,0
fanconi anemia complementation group p,5,0,0,12894,default_universe,,0,0,0,0
fanconi anemia complementation group q,3,1,1,12894,default_universe,,0,0,0,0
growth hormone insensitivity syndrome with immune dysregulation,1,0,0,12894,default_universe,,0,0,0,0
hodgkin lymphoma,4,0,0,12894,default_universe,,0,0,0,0
immune thrombocytopenia,1,0,0,12894,default_universe,,0,0,0,0
immunodeficiency,23,9,6,12894,default_universe,,0,0,0,0
immunodeficiency disorder,1,0,0,12894,default_universe,,0,0,0,0
immunodeficiency syndrome,2,0,0,12894,default_universe,,0,0,0,0
immunoglobulin a deficiency,1,0,0,12894,default_universe,,0,0,0,0
increased risk to develop myelodysplastic syndrome acute myeloid leukemia or chronic myelomonocytic leukemia,1,0,0,12894,default_universe,,0,0,0,0
inflammatory bowel disease,3,5,5,12894,default_universe,,0,0,0,0
leukemia,3,0,0,12894,default_universe,,0,0,0,0
lupus erythematosus,5,0,0,12894,default_universe,,0,0,0,0
lymphoid neoplasm,1,0,0,12894,default_universe,,0,0,0,0
lymphoma,6,5,5,12894,default_universe,,0,0,0,0
microcephaly and immunodeficiency syndrome,9,32,9,12894,default_universe,,0,0,0,0
multisystem inflammatory syndrome in children,1,0,0,12894,default_universe,,0,0,0,0
myelofibrosis with myeloid metaplasia,1,0,0,12894,default_universe,,0,0,0,0
myeloid leukemia,44,9,6,12894,default_universe,,0,0,0,0
primary immunodeficiency,22,2,2,12894,default_universe,,0,0,0,0
primary immunodeficiency disease,7,0,0,12894,default_universe,,0,0,0,0
primary immunodeficiency with endocrine features,1,0,0,12894,default_universe,,0,0,0,0
schimke immuno osseous dysplasia,5,0,0,12894,default_universe,,0,0,0,0
severe combined immunodeficiency,19,13,4,12894,default_universe,,0,0,0,0
systemic autoimmune disease,3,0,0,12894,default_universe,,0,0,0,0
systemic lupus erythematosus,1,0,0,12894,default_universe,,0,0,0,0
t cell prolymphocytic leukemia,1,0,0,12894,default_universe,,0,0,0,0
